"city"	"geo_location"	"location"	"station"	"line"	"opened_month"	"opened_day"	"opened_year"	"lon"	"lat"
"76"	"Paris"	"Croix de Chavaux, Montreuil, France"	"Montreuil, France"	"Croix de Chavaux"	"9"	10	14	1937	2.435764	48.858055
"77"	"Paris"	"Danube, Paris, France"	"Paris, France"	"Danube"	"7bis"	1	18	1911	2.3953673	48.8847674
"78"	"Paris"	"Daumesnil, Paris, France"	"Paris, France"	"Daumesnil"	"6, 8"	3	1	1909	2.3964031	48.83944
"79"	"Paris"	"Denfert-Rochereau, Paris, France"	"Paris, France"	"Denfert-Rochereau"	"4, 6"	4	24	1906	2.3325223	48.8338632
"80"	"Paris"	"Dugommier, Paris, France"	"Paris, France"	"Dugommier"	"6"	3	1	1909	2.389965	48.839049
"81"	"Paris"	"Dupleix, Paris, France"	"Paris, France"	"Dupleix"	"6"	4	24	1906	2.293557	48.850432
"82"	"Paris"	"Duroc, Paris, France"	"Paris, France"	"Duroc"	"10, 13"	12	30	1923	2.316479	48.846834
"83"	"Paris"	"École Militaire, Paris, France"	"Paris, France"	"École Militaire"	"8"	7	13	1913	2.3036513	48.8524005
"84"	"Paris"	"École Vétérinaire de Maisons-Alfort, Maisons-Alfort, France"	"Maisons-Alfort, France"	"École Vétérinaire de Maisons-Alfort"	"8"	9	19	1970	2.4223068	48.8149257
"85"	"Paris"	"Edgar Quinet, Paris, France"	"Paris, France"	"Edgar Quinet"	"6"	4	24	1906	2.325464	48.840974
"86"	"Paris"	"Église d’Auteuil, Paris, France"	"Paris, France"	"Église d’Auteuil"	"10"	9	30	1913	2.269396	48.847032
"87"	"Paris"	"Église de Pantin, Pantin, France"	"Pantin, France"	"Église de Pantin"	"5"	10	12	1942	2.412337	48.893024
"88"	"Paris"	"Esplanade de La Défense, Puteaux, France"	"Puteaux, France"	"Esplanade de La Défense"	"1"	4	1	1992	2.250164	48.888004
"89"	"Paris"	"Étienne Marcel, Paris, France"	"Paris, France"	"Étienne Marcel"	"4"	4	21	1908	2.3489432	48.8637323
"90"	"Paris"	"Europe, Paris, France"	"Paris, France"	"Europe"	"3"	10	19	1904	2.3522219	48.856614
"91"	"Paris"	"Exelmans, Paris, France"	"Paris, France"	"Exelmans"	"9"	11	8	1922	2.2600545	48.8429646
"92"	"Paris"	"Faidherbe – Chaligny, Paris, France"	"Paris, France"	"Faidherbe – Chaligny"	"8"	5	5	1931	2.3522219	48.856614
"93"	"Paris"	"Falguière, Paris, France"	"Paris, France"	"Falguière"	"12"	11	5	1910	2.3113201	48.8373882
"94"	"Paris"	"Félix Faure, Paris, France"	"Paris, France"	"Félix Faure"	"8"	7	27	1937	2.291699	48.842744
"95"	"Paris"	"Filles du Calvaire, Paris, France"	"Paris, France"	"Filles du Calvaire"	"8"	5	5	1931	2.36661	48.863056
"96"	"Paris"	"Fort d’Aubervilliers, Aubervilliers, France"	"Aubervilliers, France"	"Fort d’Aubervilliers"	"7"	10	4	1979	2.407103	48.9113929
"97"	"Paris"	"Franklin D. Roosevelt, Paris, France"	"Paris, France"	"Franklin D. Roosevelt"	"1, 9"	7	19	1900	2.310117	48.868978
"98"	"Paris"	"Gabriel Péri, Asnières-sur-Seine, France"	"Asnières-sur-Seine, France"	"Gabriel Péri"	"13"	5	3	1980	2.3319181	48.9063192
"99"	"Paris"	"Gaîté, Paris, France"	"Paris, France"	"Gaîté"	"13"	1	21	1937	2.322396	48.838626
"100"	"Paris"	"Gallieni, Bagnolet, France"	"Bagnolet, France"	"Gallieni"	"3"	4	2	1971	2.414576	48.865429
"101"	"Paris"	"Gambetta, Paris, France"	"Paris, France"	"Gambetta"	"3, 3bis"	3	27	1905	2.398461	48.8649071
"102"	"Paris"	"Gare d’Austerlitz, Paris, France"	"Paris, France"	"Gare d’Austerlitz"	"5, 10"	6	2	1906	2.366116	48.841748
"103"	"Paris"	"Gare de l’Est, Paris, France"	"Paris, France"	"Gare de l’Est"	"4, 5, 7"	11	15	1907	2.3591135	48.876636
"104"	"Paris"	"Gare de Lyon, Paris, France"	"Paris, France"	"Gare de Lyon"	"1, 14"	7	19	1900	2.3743773	48.8443038
"105"	"Paris"	"Gare du Nord, Paris, France"	"Paris, France"	"Gare du Nord"	"4, 5"	4	21	1908	2.3553137	48.8809481
"106"	"Paris"	"George V, Paris, France"	"Paris, France"	"George V"	"1"	8	13	1900	2.300569	48.872013
"107"	"Paris"	"Glacière, Paris, France"	"Paris, France"	"Glacière"	"6"	4	24	1906	2.343385	48.831161
"108"	"Paris"	"Goncourt, Paris, France"	"Paris, France"	"Goncourt"	"11"	4	28	1935	2.370923	48.869966
"109"	"Paris"	"Grands Boulevards, Paris, France"	"Paris, France"	"Grands Boulevards"	"8, 9"	5	5	1931	2.3430732	48.8714722
"110"	"Paris"	"Guy Môquet, Paris, France"	"Paris, France"	"Guy Môquet"	"13"	2	26	1911	2.3271655	48.8927683
"111"	"Paris"	"Havre – Caumartin, Paris, France"	"Paris, France"	"Havre – Caumartin"	"3, 9"	10	19	1904	2.328729	48.873547
"112"	"Paris"	"Hoche, Pantin, France"	"Pantin, France"	"Hoche"	"5"	10	12	1942	2.402766	48.891275
"113"	"Paris"	"Hôtel de Ville, Paris, France"	"Paris, France"	"Hôtel de Ville"	"1, 9, 11"	7	19	1900	2.3582788	48.8534275
"114"	"Paris"	"Invalides, Paris, France"	"Paris, France"	"Invalides"	"8, 13"	7	13	1913	2.3138127	48.8593608
"115"	"Paris"	"Jacques Bonsergent, Paris, France"	"Paris, France"	"Jacques Bonsergent"	"5"	12	17	1906	2.3605	48.871126
"116"	"Paris"	"Jasmin, Paris, France"	"Paris, France"	"Jasmin"	"9"	11	8	1922	2.268054	48.852228
"117"	"Paris"	"Jaurès, Paris, France"	"Paris, France"	"Jaurès"	"2, 5, 7bis"	2	23	1903	2.3761334	48.8820163
"118"	"Paris"	"Javel – André Citroën, Paris, France"	"Paris, France"	"Javel – André Citroën"	"10"	9	30	1913	2.2781728	48.8461549
"119"	"Paris"	"Jourdain, Paris, France"	"Paris, France"	"Jourdain"	"11"	4	28	1935	2.389512	48.875206
"120"	"Paris"	"Jules Joffrin, Paris, France"	"Paris, France"	"Jules Joffrin"	"12"	10	31	1912	2.344326	48.892518
"121"	"Paris"	"Jussieu, Paris, France"	"Paris, France"	"Jussieu"	"7, 10"	4	26	1931	2.3547356	48.8460306
"122"	"Paris"	"Kléber, Paris, France"	"Paris, France"	"Kléber"	"6"	10	2	1900	2.2935978	48.871624
"123"	"Paris"	"La Chapelle, Paris, France"	"Paris, France"	"La Chapelle"	"2"	1	31	1903	2.3657346	48.8923042
"124"	"Paris"	"La Courneuve – 8 Mai 1945, Saint-Denis, France"	"Saint-Denis, France"	"La Courneuve – 8 Mai 1945"	"7"	5	6	1987	2.4097655	48.9211324
"125"	"Paris"	"La Défense – Grande Arche, Puteaux, France"	"Puteaux, France"	"La Défense – Grande Arche"	"1"	4	1	1992	2.23964	48.884748
"126"	"Paris"	"La Fourche, Paris, France"	"Paris, France"	"La Fourche"	"13"	2	26	1911	2.325593	48.887501
"127"	"Paris"	"La Motte-Picquet – Grenelle, Paris, France"	"Paris, France"	"La Motte-Picquet – Grenelle"	"6, 8, 10"	4	24	1906	2.297916	48.849047
