city	location	station	line	opened
Paris	Paris, France	Bel-Air	6	3/1/1909
Paris	Paris, France	Belleville	2, 11	1/1/1903
Paris	Vincennes, France	Bérault	1	3/24/1934
Paris	Paris, France	Bercy	6, 14	3/1/1909
Paris	Paris, France	Bibliothèque François Mitterrand	14	10/15/1998
Paris	Boulogne-Billancourt, France	Billancourt	9	2/3/1934
Paris	Paris, France	Bir-Hakeim	6	4/24/1906
Paris	Paris, France	Blanche	2	10/21/1902
Paris	Bobigny, France	Bobigny – Pablo Picasso	5	4/25/1985
Paris	Paris, France	Boissière	6	10/2/1900
Paris	Paris, France	Bolivar	7bis	7/18/1911
Paris	Paris, France	Bonne Nouvelle	8, 9	5/5/1931
Paris	Paris, France	Botzaris	7bis	1/18/1911
Paris	Paris, France	Boucicaut	8	7/27/1937
Paris	Boulogne-Billancourt, France	Boulogne – Jean Jaurès	10	10/3/1980
Paris	Boulogne-Billancourt, France	Boulogne – Pont de Saint-Cloud	10	10/2/1981
Paris	Paris, France	Bourse	3	10/19/1904
Paris	Paris, France	Bréguet – Sabin	5	12/31/1906
Paris	Paris, France	Brochant	13	1/20/1912
Paris	Paris, France	Buttes Chaumont	7bis	2/13/1912
Paris	Paris, France	Buzenval	9	12/10/1933
Paris	Paris, France	Cadet	7	11/5/1910
Paris	Paris, France	Cambronne	6	4/24/1906
Paris	Paris, France	Campo Formio	5	6/2/1906
Paris	Paris, France	Cardinal Lemoine	10	4/26/1931
Paris	Saint-Denis, France	Carrefour Pleyel	13	6/30/1952
Paris	Paris, France	Censier – Daubenton	7	2/15/1930
Paris	Paris, France	Champs-Élysées – Clemenceau	1, 13	7/19/1900
Paris	Paris, France	Chardon Lagache	10	9/30/1913
Paris	Charenton-le-Pont, France	Charenton – Écoles	8	10/5/1942
Paris	Paris, France	Charles de Gaulle – Étoile	1, 2, 6	9/1/1900
Paris	Paris, France	Charles Michels	10	7/13/1913
Paris	Paris, France	Charonne	9	12/10/1933
Paris	Paris, France	Château d’Eau	4	4/21/1908
Paris	Paris, France	Château de Vincennes	1	3/24/1934
Paris	Paris, France	Château Rouge	4	4/21/1908
Paris	Paris, France	Château-Landon	7	11/5/1910
Paris	Paris, France	Châtelet	1, 4, 7, 11, 14	8/6/1900
Paris	Châtillon, France	Châtillon – Montrouge	13	11/9/1976
Paris	Paris, France	Chaussée d’Antin – La Fayette	7, 9	11/5/1910
Paris	Paris, France	Chemin Vert	8	5/5/1931
Paris	Paris, France	Chevaleret	6	3/1/1909
